#Order, #Num, #Angle, #Angle_answer, #distance
76, 79, 270, -1, -1
77, 47, 270, -1, -1
78, 11, 90, -1, -1
79, 116, 135, -1, -1
80, 33, 0, -1, -1
81, 26, 45, -1, -1
82, 109, 180, -1, -1
83, 39, 270, -1, -1
84, 43, 90, -1, -1
85, 87, 270, -1, -1
86, 77, 180, -1, -1
87, 107, 90, -1, -1
88, 21, 180, -1, -1
89, 41, 0, -1, -1
90, 60, 135, -1, -1
91, 45, 180, -1, -1
92, 124, 135, -1, -1
93, 101, 180, -1, -1
94, 80, 315, -1, -1
95, 118, 225, -1, -1
96, 104, 315, -1, -1
97, 57, 0, -1, -1
98, 71, 270, -1, -1
99, 22, 225, -1, -1
100, 50, 45, -1, -1
101, 34, 45, -1, -1
102, 110, 225, -1, -1
103, 86, 225, -1, -1
104, 123, 90, -1, -1
105, 15, 270, -1, -1
106, 12, 135, -1, -1
107, 93, 180, -1, -1
108, 38, 225, -1, -1
109, 63, 270, -1, -1
110, 95, 270, -1, -1
111, 84, 135, -1, -1
112, 69, 180, -1, -1
113, 17, 0, -1, -1
114, 108, 135, -1, -1
115, 76, 135, -1, -1
116, 120, 315, -1, -1
117, 122, 45, -1, -1
118, 78, 225, -1, -1
119, 88, 315, -1, -1
120, 100, 135, -1, -1
121, 23, 270, -1, -1
122, 117, 180, -1, -1
123, 6, 225, -1, -1
124, 58, 45, -1, -1
125, 51, 90, -1, -1
126, 92, 135, -1, -1
127, 54, 225, -1, -1
128, 8, 315, -1, -1
129, 1, 0, -1, -1
130, 73, 0, -1, -1
131, 35, 90, -1, -1
132, 13, 180, -1, -1
133, 52, 135, -1, -1
134, 115, 90, -1, -1
135, 114, 45, -1, -1
136, 49, 0, -1, -1
137, 59, 90, -1, -1
138, 89, 0, -1, -1
139, 30, 225, -1, -1
140, 14, 225, -1, -1
141, 81, 0, -1, -1
142, 25, 0, -1, -1
143, 90, 45, -1, -1
144, 121, 0, -1, -1
145, 53, 180, -1, -1
146, 24, 315, -1, -1
147, 99, 90, -1, -1
148, 119, 270, -1, -1
149, 37, 180, -1, -1
150, 102, 225, -1, -1
151, 7, 270, -1, -1
152, 55, 270, -1, -1
153, 103, 270, -1, -1
154, 85, 180, -1, -1
155, 96, 315, -1, -1
156, 27, 90, -1, -1
157, 44, 135, -1, -1
158, 75, 90, -1, -1
159, 65, 0, -1, -1
160, 20, 135, -1, -1
161, 111, 270, -1, -1
162, 105, 0, -1, -1
163, 5, 180, -1, -1
164, 113, 0, -1, -1
165, 4, 135, -1, -1
166, 82, 45, -1, -1
167, 56, 315, -1, -1
168, 97, 0, -1, -1
169, 40, 315, -1, -1
170, 16, 315, -1, -1
171, 46, 225, -1, -1
172, 106, 45, -1, -1
173, 29, 180, -1, -1
174, 126, 225, -1, -1
175, 61, 180, -1, -1
176, 74, 45, -1, -1
177, 128, 315, -1, -1
178, 94, 225, -1, -1
179, 28, 135, -1, -1
180, 98, 45, -1, -1
181, 18, 45, -1, -1
182, 42, 45, -1, -1
183, 125, 180, -1, -1
184, 72, 315, -1, -1
185, 32, 315, -1, -1
186, 3, 90, -1, -1
187, 127, 270, -1, -1
188, 91, 90, -1, -1
189, 9, 0, -1, -1
190, 31, 270, -1, -1
191, 112, 315, -1, -1
192, 83, 90, -1, -1
193, 64, 315, -1, -1
194, 66, 45, -1, -1
195, 48, 315, -1, -1
196, 70, 225, -1, -1
197, 19, 90, -1, -1
198, 62, 225, -1, -1
199, 10, 45, -1, -1
200, 68, 135, -1, -1
201, 36, 135, -1, -1
202, 67, 90, -1, -1
203, 2, 45, -1, -1
204, 79, 270, -1, -1
205, 47, 270, -1, -1
206, 11, 90, -1, -1
207, 116, 135, -1, -1
208, 33, 0, -1, -1
209, 26, 45, -1, -1
210, 109, 180, -1, -1
211, 39, 270, -1, -1
212, 43, 90, -1, -1
213, 87, 270, -1, -1
214, 77, 180, -1, -1
215, 107, 90, -1, -1
216, 21, 180, -1, -1
217, 41, 0, -1, -1
218, 60, 135, -1, -1
219, 45, 180, -1, -1
220, 124, 135, -1, -1
221, 101, 180, -1, -1
222, 80, 315, -1, -1
223, 118, 225, -1, -1
224, 104, 315, -1, -1
225, 57, 0, -1, -1
226, 71, 270, -1, -1
227, 22, 225, -1, -1
228, 50, 45, -1, -1
229, 34, 45, -1, -1
230, 110, 225, -1, -1
231, 86, 225, -1, -1
232, 123, 90, -1, -1
233, 15, 270, -1, -1
234, 12, 135, -1, -1
235, 93, 180, -1, -1
236, 38, 225, -1, -1
237, 63, 270, -1, -1
238, 95, 270, -1, -1
239, 84, 135, -1, -1
240, 69, 180, -1, -1
241, 17, 0, -1, -1
242, 108, 135, -1, -1
243, 76, 135, -1, -1
244, 120, 315, -1, -1
245, 122, 45, -1, -1
246, 78, 225, -1, -1
247, 88, 315, -1, -1
248, 100, 135, -1, -1
249, 23, 270, -1, -1
250, 117, 180, -1, -1
251, 6, 225, -1, -1
252, 58, 45, -1, -1
253, 51, 90, -1, -1
254, 92, 135, -1, -1
255, 54, 225, -1, -1
256, 8, 315, -1, -1
257, 1, 0, -1, -1
258, 73, 0, -1, -1
259, 35, 90, -1, -1
260, 13, 180, -1, -1
261, 52, 135, -1, -1
262, 115, 90, -1, -1
263, 114, 45, -1, -1
264, 49, 0, -1, -1
265, 59, 90, -1, -1
266, 89, 0, -1, -1
267, 30, 225, -1, -1
268, 14, 225, -1, -1
269, 81, 0, -1, -1
270, 25, 0, -1, -1
271, 90, 45, -1, -1
272, 121, 0, -1, -1
273, 53, 180, -1, -1
274, 24, 315, -1, -1
275, 99, 90, -1, -1
276, 119, 270, -1, -1
277, 37, 180, -1, -1
278, 102, 225, -1, -1
279, 7, 270, -1, -1
280, 55, 270, -1, -1
281, 103, 270, -1, -1
282, 85, 180, -1, -1
283, 96, 315, -1, -1
284, 27, 90, -1, -1
285, 44, 135, -1, -1
286, 75, 90, -1, -1
287, 65, 0, -1, -1
288, 20, 135, -1, -1
289, 111, 270, -1, -1
290, 105, 0, -1, -1
291, 5, 180, -1, -1
292, 113, 0, -1, -1
293, 4, 135, -1, -1
294, 82, 45, -1, -1
295, 56, 315, -1, -1
296, 97, 0, -1, -1
297, 40, 315, -1, -1
298, 16, 315, -1, -1
299, 46, 225, -1, -1
300, 106, 45, -1, -1
301, 29, 180, -1, -1
302, 126, 225, -1, -1
303, 61, 180, -1, -1
304, 74, 45, -1, -1
305, 128, 315, -1, -1
306, 94, 225, -1, -1
307, 28, 135, -1, -1
308, 98, 45, -1, -1
309, 18, 45, -1, -1
310, 42, 45, -1, -1
311, 125, 180, 180.4064, 3.944155
312, 72, 315, 70.11483, 4.194124
313, 32, 315, 317.3859, 2.850678
314, 3, 90, 69.62356, 3.133116
315, 127, 270, 90.37448, 4.279811
316, 91, 90, 54.21104, 4.448344
317, 9, 0, 310.6568, 3.134115
318, 31, 270, 158.7723, 3.63098
319, 112, 315, 129.3907, 4.45186
320, 83, 90, 1.37487, 3.49751
321, 64, 315, 180.4731, 3.384731
322, 66, 45, 129.9994, 3.176765
323, 48, 315, 1.499461, 5.344487
324, 70, 225, 195.3409, 3.277624
325, 19, 90, 220.5444, 3.055232
326, 62, 225, 133.1323, 3.641309
327, 10, 45, 111.9853, 4.856672
328, 68, 135, 91.04163, 4.616148
329, 36, 135, 228.094, 4.397395
330, 67, 90, 180.4001, 4.000097
331, 2, 45, 180.5159, 3.105021
332, 79, 270, 74.50071, 3.45429
333, 47, 270, 291.3706, 3.454291
334, 11, 90, 272.0025, 4.002444
335, 116, 135, 179.6347, 4.391698
336, 33, 0, 125.0223, 4.337919
337, 26, 45, 181.2364, 3.889017
338, 109, 180, 91.25445, 3.833085
339, 39, 270, 2.984325, 5.910112
340, 43, 90, 197.1403, 3.132118
341, 87, 270, 226.7184, 3.957621
342, 77, 180, 129.3907, 4.45186
343, 107, 90, 273.0128, 4.789837
344, 21, 180, 272.7263, 4.116548
345, 41, 0, 129.9427, 4.487571
346, 60, 135, 116.7829, 3.290015
347, 45, 180, 251.2948, 3.750546
348, 124, 135, 318.3949, 4.6761
349, 101, 180, 289.6223, 3.415108
350, 80, 315, 66.55708, 3.445218
351, 118, 225, 91.57655, 3.050106
352, 104, 315, 114.3701, 3.592854
353, 57, 0, 179.3839, 2.601549
354, 71, 270, 18.11305, 3.14906
355, 22, 225, 180.4981, 3.216905
356, 50, 45, 211.9543, 3.329729
357, 34, 45, 312.4266, 3.524254
358, 110, 225, 181.2921, 3.721226
359, 86, 225, 252.0611, 4.086789
360, 123, 90, 224.3634, 3.560477
361, 15, 270, 1.948127, 4.114266
362, 12, 135, 107.4254, 4.016493
363, 93, 180, 180.437, 3.664443
364, 38, 225, 136.0512, 4.312594
365, 63, 270, 47.23699, 5.06734
366, 95, 270, 179.534, 3.440673
367, 84, 135, 1.921932, 4.170178
368, 69, 180, 136.3169, 3.442493
369, 17, 0, 0.4652019, 3.440672
370, 108, 135, 190.7131, 3.159973
371, 76, 135, 1.494362, 3.217877
372, 120, 315, 223.9088, 4.154387
373, 122, 45, 271.8241, 4.393835
374, 78, 225, 163.3392, 4.000097
375, 88, 315, 92.18581, 3.667003
376, 100, 135, 45.91665, 4.945435
377, 23, 270, 130.2364, 3.334425
378, 117, 180, 2.489472, 3.219821
379, 6, 225, 180.5453, 2.937196
380, 58, 45, 108.435, 3.095936
381, 51, 90, 225, 3.283349
382, 92, 135, 198.435, 3.272847
383, 54, 225, 3.447362, 2.325887
384, 8, 315, 69.62356, 3.133116
385, 1, 0, 112.2703, 3.173808
386, 73, 0, 308.4802, 4.180672
387, 35, 90, 130.5526, 3.57101
388, 13, 180, 210.9637, 2.77276
389, 52, 135, 113.0615, 3.070559
390, 115, 90, 182.6264, 3.052157
391, 114, 45, 336.4478, 3.570133
392, 49, 0, 256.9384, 3.589367
393, 59, 90, 102.9946, 3.358741
394, 89, 0, 312.3493, 4.276886
395, 30, 225, 346.8275, 4.050635
396, 14, 225, 194.5658, 3.670416
397, 81, 0, 197.3332, 4.600527
398, 25, 0, 108.7186, 3.573639
399, 90, 45, 15.08636, 3.331608
400, 121, 0, 218.0317, 3.586751
401, 53, 180, 25.85187, 3.015017
402, 24, 315, 201.7139, 3.402254
403, 99, 90, 2.447047, 3.275714
404, 119, 270, 164.7946, 5.652426
405, 37, 180, 2.12108, 3.778813
406, 102, 225, 359.493, 3.160963
407, 7, 270, 108.7681, 3.042915
408, 55, 270, 92.00254, 4.002444
409, 103, 270, 195.8759, 3.169862
410, 85, 180, 20.40019, 3.611101
411, 96, 315, 51.66129, 5.456338
412, 27, 90, 225.7957, 2.848481
413, 44, 135, 255.1601, 3.385656
414, 75, 90, 313.7897, 5.618549
415, 65, 0, 128.8845, 3.341925
416, 20, 135, 179.145, 1.874335
417, 111, 270, 269.4645, 2.993137
418, 105, 0, 180.5453, 2.937196
419, 5, 180, 93.32312, 4.342968
420, 113, 0, 177.4209, 3.108043
421, 4, 135, 50.89063, 5.01082
422, 82, 45, 253.4429, 3.239204
423, 56, 315, 202.8023, 7.434142
424, 97, 0, 20.88316, 7.454741
425, 40, 315, 1.783667, 8.087834
426, 16, 315, 156.1814, 3.393965
427, 46, 225, 92.57915, 3.108042
428, 106, 45, 179.5269, 3.384731
429, 29, 180, 289.8265, 4.370982
430, 126, 225, 252.7904, 3.308986
431, 61, 180, 0.5352231, 2.993138
432, 74, 45, 2.891237, 2.772761
433, 128, 315, -1, -1
434, 94, 225, -1, -1
435, 28, 135, -1, -1
436, 98, 45, -1, -1
437, 18, 45, -1, -1
438, 42, 45, -1, -1
439, 125, 180, -1, -1
440, 72, 315, -1, -1
441, 32, 315, -1, -1
442, 3, 90, -1, -1
443, 127, 270, -1, -1
444, 91, 90, -1, -1
445, 9, 0, -1, -1
446, 31, 270, -1, -1
447, 112, 315, -1, -1
448, 83, 90, -1, -1
449, 64, 315, -1, -1
450, 66, 45, -1, -1
451, 48, 315, -1, -1
452, 70, 225, -1, -1
453, 19, 90, -1, -1
454, 62, 225, -1, -1
455, 10, 45, -1, -1
456, 68, 135, -1, -1
457, 36, 135, -1, -1
458, 67, 90, -1, -1
459, 2, 45, -1, -1
460, 79, 270, -1, -1
461, 47, 270, -1, -1
462, 11, 90, -1, -1
463, 116, 135, -1, -1
464, 33, 0, -1, -1
465, 26, 45, -1, -1
466, 109, 180, -1, -1
467, 39, 270, -1, -1
468, 43, 90, -1, -1
469, 87, 270, -1, -1
470, 77, 180, -1, -1
471, 107, 90, -1, -1
472, 21, 180, -1, -1
473, 41, 0, -1, -1
474, 60, 135, -1, -1
475, 45, 180, -1, -1
476, 124, 135, -1, -1
477, 101, 180, -1, -1
478, 80, 315, -1, -1
479, 118, 225, -1, -1
480, 104, 315, -1, -1
481, 57, 0, -1, -1
482, 71, 270, -1, -1
483, 22, 225, -1, -1
484, 50, 45, -1, -1
485, 34, 45, -1, -1
486, 110, 225, -1, -1
487, 86, 225, -1, -1
488, 123, 90, -1, -1
489, 15, 270, -1, -1
490, 12, 135, -1, -1
491, 93, 180, -1, -1
492, 38, 225, -1, -1
493, 63, 270, -1, -1
494, 95, 270, -1, -1
495, 84, 135, -1, -1
496, 69, 180, -1, -1
497, 17, 0, -1, -1
498, 108, 135, -1, -1
499, 76, 135, -1, -1
500, 120, 315, -1, -1
